word	onset	duration	trial_type
pour	79.60000000000001	0.25	{'kind': 'word', 'word': 'pour'}
y	79.90000000000002	0.25	{'kind': 'word', 'word': 'y'}
recevoir	80.20000000000002	0.25	{'kind': 'word', 'word': 'recevoir'}
dans	80.50000000000001	0.25	{'kind': 'word', 'word': 'dans'}
les	80.80000000000001	0.25	{'kind': 'word', 'word': 'les'}
bras	81.10000000000001	0.25	{'kind': 'word', 'word': 'bras'}
mon	81.40000000000002	0.25	{'kind': 'word', 'word': 'mon'}
petit	81.70000000000002	0.25	{'kind': 'word', 'word': 'petit'}
bonhomme	82.00000000000001	0.25	{'kind': 'word', 'word': 'bonhomme'}
de	82.30000000000001	0.25	{'kind': 'word', 'word': 'de'}
prince,	82.60000000000001	0.25	{'kind': 'word', 'word': 'prince'}
pâle	82.90000000000002	0.25	{'kind': 'word', 'word': 'pâle'}
comme	83.20000000000002	0.25	{'kind': 'word', 'word': 'comme'}
la	83.50000000000001	0.25	{'kind': 'word', 'word': 'la'}
neige.	83.80000000000001	0.25	{'kind': 'word', 'word': 'neige'}
"""quelle"	84.10000000000001	0.25	{'kind': 'word', 'word': 'quelle'}
est	84.40000000000002	0.25	{'kind': 'word', 'word': 'est'}
cette	84.70000000000002	0.25	{'kind': 'word', 'word': 'cette'}
histoire-là!	85.00000000000001	0.25	{'kind': 'word', 'word': 'histoirelà'}
Tu	85.30000000000001	0.25	{'kind': 'word', 'word': 'Tu'}
parles	85.60000000000001	0.25	{'kind': 'word', 'word': 'parles'}
maintenant	85.90000000000002	0.25	{'kind': 'word', 'word': 'maintenant'}
avec	86.20000000000002	0.25	{'kind': 'word', 'word': 'avec'}
les	86.50000000000001	0.25	{'kind': 'word', 'word': 'les'}
"serpents!"""	86.80000000000001	0.25	{'kind': 'word', 'word': 'serpents'}
J'avais	87.10000000000001	0.25	{'kind': 'word', 'word': 'Javais'}
défait	87.40000000000002	0.25	{'kind': 'word', 'word': 'défait'}
son	87.70000000000002	0.25	{'kind': 'word', 'word': 'son'}
éternel	88.00000000000001	0.25	{'kind': 'word', 'word': 'éternel'}
cache-nez	88.30000000000001	0.25	{'kind': 'word', 'word': 'cachenez'}
d'or.	88.60000000000002	0.25	{'kind': 'word', 'word': 'dor'}
Je	88.90000000000002	0.25	{'kind': 'word', 'word': 'Je'}
lui	89.20000000000002	0.25	{'kind': 'word', 'word': 'lui'}
avais	89.50000000000001	0.25	{'kind': 'word', 'word': 'avais'}
mouillé	89.80000000000001	0.25	{'kind': 'word', 'word': 'mouillé'}
les	90.10000000000002	0.25	{'kind': 'word', 'word': 'les'}
tempes	90.40000000000002	0.25	{'kind': 'word', 'word': 'tempes'}
et	90.70000000000002	0.25	{'kind': 'word', 'word': 'et'}
l'avais	91.0	0.25	{'kind': 'word', 'word': 'lavais'}
fait	91.3	0.25	{'kind': 'word', 'word': 'fait'}
boire.	91.60000000000002	0.25	{'kind': 'word', 'word': 'boire'}
Et	91.90000000000002	0.25	{'kind': 'word', 'word': 'Et'}
maintenant	92.20000000000002	0.25	{'kind': 'word', 'word': 'maintenant'}
je	92.5	0.25	{'kind': 'word', 'word': 'je'}
n'osais	92.8	0.25	{'kind': 'word', 'word': 'nosais'}
plus	93.10000000000002	0.25	{'kind': 'word', 'word': 'plus'}
rien	93.40000000000002	0.25	{'kind': 'word', 'word': 'rien'}
lui	93.70000000000002	0.25	{'kind': 'word', 'word': 'lui'}
demander.	94.0	0.25	{'kind': 'word', 'word': 'demander'}
Il	94.3	0.25	{'kind': 'word', 'word': 'Il'}
me	94.60000000000002	0.25	{'kind': 'word', 'word': 'me'}
regarda	94.90000000000002	0.25	{'kind': 'word', 'word': 'regarda'}
gravement	95.20000000000002	0.25	{'kind': 'word', 'word': 'gravement'}
et	95.5	0.25	{'kind': 'word', 'word': 'et'}
m'entoura	95.8	0.25	{'kind': 'word', 'word': 'mentoura'}
le	96.10000000000002	0.25	{'kind': 'word', 'word': 'le'}
cou	96.40000000000002	0.25	{'kind': 'word', 'word': 'cou'}
de	96.70000000000002	0.25	{'kind': 'word', 'word': 'de'}
ses	97.0	0.25	{'kind': 'word', 'word': 'ses'}
bras.	97.3	0.25	{'kind': 'word', 'word': 'bras'}
Je	97.60000000000002	0.25	{'kind': 'word', 'word': 'Je'}
sentais	97.90000000000002	0.25	{'kind': 'word', 'word': 'sentais'}
battre	98.20000000000002	0.25	{'kind': 'word', 'word': 'battre'}
