,data,trigger_ind,trigger_time,word,word_duration,word_ind,word_time
363,trigger,265.0,117.502,,,,
364,trigger,266.0,117.557,,,,
365,word,,,comprendre,0.6400000000000006,,69.88
366,word,,,elles,0.3499999999999943,,71.14
367,word,,,ont,0.1900000000000119,,71.49
368,word,,,toujours,0.6599999999999966,,71.83
369,word,,,besoin,0.3599999999999994,,72.49
370,match,267.0,117.892,d,0.0600000000000022,177.0,72.85
371,trigger,268.0,117.947,,,,
372,trigger,269.0,118.373,,,,
373,trigger,270.0,118.428,,,,
374,trigger,271.0,118.824,,,,
375,trigger,272.0,118.879,,,,
376,trigger,273.0,119.085,,,,
377,word,,,explications,0.6899999999999977,,72.91
378,word,,,mon,0.2199999999999988,,74.43
379,word,,,dessin,0.3900000000000005,,74.65
380,word,,,numéro,0.4799999999999897,,75.04
381,word,,,2,0.2700000000000102,,75.52
382,word,,,était,0.2600000000000051,,75.97
383,match,274.0,119.139,comme,0.2399999999999948,184.0,76.23
384,trigger,275.0,119.38,,,,
385,trigger,276.0,120.969,,,,
386,word,,,ça,0.2199999999999988,,76.47
387,match,277.0,121.024,les,0.1899999999999977,186.0,78.11
388,trigger,278.0,121.213,,,,
389,trigger,279.0,121.46,,,,
390,trigger,280.0,121.514,,,,
391,word,,,grandes,0.2999999999999971,,78.3
392,word,,,personnes,0.4500000000000028,,78.6
393,match,281.0,121.961,m,0.0300000000000011,189.0,79.1
394,trigger,282.0,121.991,,,,
395,trigger,283.0,122.045,,,,
396,trigger,284.0,122.138,,,,
397,trigger,285.0,122.712,,,,
398,word,,,ont,0.1000000000000085,,79.13
399,word,,,conseillé,0.6199999999999903,,79.23
400,match,286.0,122.767,de,0.1900000000000119,192.0,79.85
401,trigger,287.0,122.956,,,,
402,trigger,288.0,123.293,,,,
403,word,,,laisser,0.3900000000000005,,80.04
404,match,289.0,123.348,de,0.1299999999999954,194.0,80.43
405,trigger,290.0,123.475,,,,
406,trigger,291.0,123.944,,,,
407,word,,,côté,0.4500000000000028,,80.56
408,match,292.0,123.999,les,0.1899999999999977,196.0,81.08
409,match,293.0,124.188,dessins,0.4200000000000017,197.0,81.27
410,match,294.0,124.609,de,0.1099999999999994,198.0,81.69
411,match,295.0,124.715,serpents,0.4699999999999988,199.0,81.8
412,trigger,296.0,125.19,,,,
413,trigger,297.0,125.667,,,,
414,trigger,298.0,125.721,,,,
415,trigger,299.0,126.298,,,,
416,trigger,300.0,126.353,,,,
417,trigger,301.0,126.425,,,,
418,word,,,boas,0.3900000000000005,,82.27
419,word,,,ouverts,0.519999999999996,,82.8
420,word,,,ou,0.039999999999992,,83.43
421,word,,,fermés,0.4799999999999897,,83.51
422,match,302.0,127.19,et,0.0600000000000022,204.0,84.32
423,trigger,303.0,127.245,,,,
424,match,304.0,127.294,de,0.1000000000000085,205.0,84.38
425,match,305.0,127.398,m,0.0699999999999931,206.0,84.48
426,trigger,306.0,127.464,,,,
427,trigger,307.0,128.002,,,,
428,trigger,308.0,128.057,,,,
429,trigger,309.0,128.412,,,,
430,trigger,310.0,128.467,,,,
431,word,,,intéresser,0.5799999999999983,,84.55
432,word,,,plutôt,0.4100000000000108,,85.13
433,word,,,à,0.0899999999999892,,85.54
434,match,311.0,128.55,la,0.1300000000000096,210.0,85.63
435,trigger,312.0,128.684,,,,
436,trigger,313.0,129.665,,,,
437,trigger,314.0,129.72,,,,
438,trigger,315.0,129.791,,,,
439,trigger,316.0,129.834,,,,
440,trigger,317.0,130.486,,,,
441,trigger,318.0,130.541,,,,
442,trigger,319.0,130.636,,,,
443,trigger,320.0,131.438,,,,
444,trigger,321.0,131.492,,,,
445,trigger,322.0,131.587,,,,
446,trigger,323.0,131.652,,,,
447,trigger,324.0,131.81,,,,
448,trigger,325.0,133.402,,,,
449,word,,,géographie,0.789999999999992,,85.76
450,word,,,à,0.0799999999999983,,86.79
451,word,,,l,0.0499999999999971,,86.87
452,word,,,histoire,0.5900000000000034,,86.92
453,word,,,au,0.0499999999999971,,87.61
454,word,,,calcul,0.6600000000000108,,87.71
455,word,,,et,0.0999999999999943,,88.56
456,word,,,à,0.0700000000000073,,88.66
457,word,,,la,0.1499999999999914,,88.73
458,word,,,grammaire,0.6700000000000017,,88.88
459,match,326.0,133.457,c,0.1300000000000096,222.0,90.52
460,match,327.0,133.584,est,0.1899999999999977,223.0,90.65
461,trigger,328.0,133.776,,,,
462,trigger,329.0,134.133,,,,
463,trigger,330.0,134.188,,,,
464,word,,,ainsi,0.4099999999999966,,90.84
465,match,331.0,134.304,que,0.1200000000000045,225.0,91.25
466,trigger,332.0,134.424,,,,
467,trigger,333.0,134.47,,,,
468,trigger,334.0,135.304,,,,
469,word,,,j,0.1299999999999954,,91.37
470,word,,,ai,0.0400000000000062,,91.5
471,word,,,abandonné,0.6799999999999926,,91.54
472,match,335.0,135.359,à,0.1200000000000045,229.0,92.42
473,trigger,336.0,135.476,,,,
474,trigger,337.0,135.551,,,,
475,word,,,l,0.0799999999999983,,92.54
476,word,,,âge,0.25,,92.62
477,match,338.0,135.809,de,0.1099999999999994,232.0,92.87
478,trigger,339.0,135.915,,,,
479,trigger,340.0,136.361,,,,
480,trigger,341.0,136.847,,,,
481,word,,,six,0.4399999999999977,,92.98
482,word,,,ans,0.1700000000000017,,93.42
483,match,342.0,136.902,une,0.2700000000000102,235.0,93.96
484,trigger,343.0,137.172,,,,
485,trigger,344.0,138.0,,,,
486,trigger,345.0,138.054,,,,
487,trigger,346.0,138.371,,,,
488,trigger,347.0,138.425,,,,
489,trigger,348.0,138.595,,,,
490,trigger,349.0,139.633,,,,
491,word,,,magnifique,0.8399999999999892,,94.23
492,word,,,carrière,0.3700000000000045,,95.11
493,match,350.0,139.688,de,0.1700000000000017,238.0,95.48
494,trigger,351.0,139.853,,,,
495,word,,,peintre,0.4199999999999875,,95.65
496,match,352.0,139.908,j,0.1500000000000056,240.0,96.74
497,trigger,353.0,140.124,,,,
498,word,,,avais,0.2700000000000102,,96.96
499,match,354.0,140.178,été,0.2299999999999897,242.0,97.23
500,trigger,355.0,140.408,,,,
501,trigger,356.0,141.286,,,,
502,word,,,découragé,0.9300000000000068,,97.46
503,match,357.0,141.341,par,0.2000000000000028,244.0,98.39
504,trigger,358.0,141.541,,,,
505,trigger,359.0,141.636,,,,
506,trigger,360.0,142.207,,,,
507,word,,,l,0.0999999999999943,,98.59
508,word,,,insuccès,0.6200000000000045,,98.69
509,match,361.0,142.262,de,0.1099999999999994,247.0,99.31
510,match,362.0,142.368,mon,0.1700000000000017,248.0,99.42
511,match,363.0,142.541,dessin,0.3699999999999903,249.0,99.59
512,trigger,364.0,142.913,,,,
513,trigger,365.0,143.36,,,,
514,trigger,366.0,143.415,,,,
515,trigger,367.0,143.982,,,,
516,trigger,368.0,144.037,,,,
517,word,,,numéro,0.5,,99.96
518,word,,,1,0.2400000000000091,,100.46
519,word,,,et,0.0900000000000034,,101.08
520,match,369.0,144.121,de,0.1400000000000005,253.0,101.17
521,match,370.0,144.265,mon,0.1599999999999966,254.0,101.31
522,match,371.0,144.426,dessin,0.3499999999999943,255.0,101.47
523,trigger,372.0,144.779,,,,
524,trigger,373.0,145.265,,,,
525,trigger,374.0,145.319,,,,
526,trigger,375.0,146.487,,,,
527,word,,,numéro,0.4700000000000131,,101.82
528,word,,,2,0.1899999999999977,,102.36
529,match,376.0,146.542,les,0.1599999999999966,258.0,103.58
530,trigger,377.0,146.701,,,,
531,trigger,378.0,146.938,,,,
532,trigger,379.0,146.992,,,,
533,word,,,grandes,0.2900000000000062,,103.74
534,word,,,personnes,0.6200000000000045,,104.03
535,match,380.0,147.559,ne,0.059999999999988,261.0,104.65
536,trigger,381.0,147.614,,,,
537,trigger,382.0,147.662,,,,
538,trigger,383.0,148.1,,,,
539,trigger,384.0,148.154,,,,
540,trigger,385.0,148.591,,,,
541,word,,,comprennent,0.480000000000004,,104.71
542,word,,,jamais,0.4900000000000091,,105.19
543,match,386.0,148.646,rien,0.2299999999999897,264.0,105.68
544,match,387.0,148.876,toutes,0.2199999999999988,265.0,105.91
545,trigger,388.0,149.096,,,,
546,word,,,seules,0.3400000000000034,,106.13
547,match,389.0,149.763,et,0.0500000000000113,267.0,106.85
548,trigger,390.0,149.813,,,,
549,trigger,391.0,149.857,,,,
550,trigger,392.0,149.983,,,,
551,trigger,393.0,150.047,,,,
552,trigger,394.0,150.774,,,,
553,word,,,c,0.1199999999999903,,106.9
554,word,,,est,0.0700000000000073,,107.02
555,word,,,fatigant,0.6599999999999966,,107.09
556,match,395.0,150.829,pour,0.1700000000000017,271.0,107.86
557,match,396.0,150.998,les,0.2399999999999948,272.0,108.03
558,trigger,397.0,151.24,,,,
559,trigger,398.0,151.886,,,,
560,word,,,enfants,0.3100000000000023,,108.27
561,match,399.0,151.941,de,0.1899999999999977,274.0,108.97
562,trigger,400.0,152.13,,,,
563,trigger,401.0,152.707,,,,
564,word,,,toujours,0.6300000000000097,,109.16
565,match,402.0,152.763,et,0.1299999999999954,276.0,109.79
566,trigger,403.0,152.89,,,,
567,trigger,404.0,153.519,,,,
568,word,,,toujours,0.6799999999999926,,109.92
569,match,405.0,153.574,leur,0.2300000000000039,278.0,110.6
570,trigger,406.0,153.804,,,,
571,trigger,407.0,154.04,,,,
572,word,,,donner,0.2900000000000062,,110.83
573,match,408.0,154.095,des,0.1999999999999886,280.0,111.12
574,trigger,409.0,154.295,,,,
575,trigger,410.0,156.093,,,,
576,word,,,explications,0.7400000000000091,,111.32
577,match,411.0,156.148,j,0.1200000000000045,282.0,113.17
578,match,412.0,156.265,ai,0.1199999999999903,283.0,113.29
579,match,413.0,156.385,donc,0.2100000000000079,284.0,113.41
580,match,414.0,156.598,dû,0.0999999999999943,285.0,113.62
581,trigger,415.0,156.757,,,,
582,trigger,416.0,157.195,,,,
583,word,,,choisir,0.4899999999999949,,113.78
584,match,417.0,157.249,un,0.1899999999999977,287.0,114.27
